Source Target Weight
Zhang RangHe Jin4
Zhang BaoZhu Jun5
Zhang BaoLiu Bei5
He JinCao Cao5
He JinYuan Shao4
He JinZhang Rang4
Zhu JunHuangfu Song7
Zhu JunZhang Bao5
Zhu JunLiu Bei12
Zhu JunSun Jian4
Lu ZhiHuangfu Song4
Lu ZhiLiu Bei6
Huangfu SongZhu Jun7
Huangfu SongLu Zhi4
Huangfu SongLiu Bei4
Zhou JingLiu Bei4
Imperial ProtectorSun Jian4
Imperial ProtectorHan Fu5
Imperial ProtectorYuan Shao4
Liu BeiGongsun Zan10
Liu BeiLu Zhi6
Liu BeiZhang Fei17
Liu BeiGuan Yu14
Liu BeiZhou Jing4
Liu BeiZhu Jun12
Liu BeiZhang Bao5
Liu BeiHuangfu Song4
Liu BeiSun Jian4
Liu BeiYuan Shao5
Gongsun ZanLiu Bei10
Gongsun ZanYuan Shao21
Gongsun ZanWen Chou6
Gongsun ZanZhao Yun6
Zhang FeiGuan Yu17
Zhang FeiLiu Bei17
Zhang FeiDong Zhuo4
Guan YuZhang Fei17
Guan YuLiu Bei14
Cao CaoHe Jin5
Cao CaoYuan Shao10
Cao CaoYuan Shu5
Cao CaoDong Zhuo16
Cao CaoLu Bu8
Cao CaoLu Boshe5
Cao CaoChen Gong7
Cao CaoXiahou Dun5
Cao CaoCao Hong5
Dong ZhuoZhang Fei4
Dong ZhuoDing Yuan7
Dong ZhuoLi Su8
Dong ZhuoLu Bu37
Dong ZhuoZhang Ji4
Dong ZhuoGuo Si5
Dong ZhuoLi Jue8
Dong ZhuoFan Chou4
Dong ZhuoLi Ru18
Dong ZhuoYuan Shao9
Dong ZhuoCao Cao16
Dong ZhuoPrime Minister5
Dong ZhuoWang Yun20
Dong ZhuoSun Jian7
Dong ZhuoDiao Chan6
Sun JianZhu Jun4
Sun JianImperial Protector4
Sun JianLiu Bei4
Sun JianCheng Pu10
Sun JianHuang Gai9
Sun JianHan Dang5
Sun JianYuan Shao12
Sun JianDong Zhuo7
Sun JianYuan Shu5
Sun JianLiu Biao12
Sun JianCai Mao5
Sun JianKuai Liang4
Sun JianHuang Zu5
Empress HeEmpress Dong4
Empress DongEmpress He4
Empress DongLiu Xian4
Liu XianEmpress Dong4
Yuan ShaoHe Jin4
Yuan ShaoCao Cao10
Yuan ShaoYuan Shu5
Yuan ShaoDong Zhuo9
Yuan ShaoSun Jian12
Yuan ShaoGongsun Zan21
Yuan ShaoLiu Bei5
Yuan ShaoWen Chou4
Yuan ShaoLiu Biao6
Yuan ShaoImperial Protector4
Yuan ShaoHan Fu7
Yuan ShaoZhao Yun4
Ding YuanLi Su4
Ding YuanDong Zhuo7
Ding YuanLu Bu9
Li SuDing Yuan4
Li SuDong Zhuo8
Li SuLu Bu17
Lu BuDing Yuan9
Lu BuLi Su17
Lu BuDong Zhuo37
Lu BuLi Ru9
Lu BuCao Cao8
Lu BuGuo Si6
Lu BuLi Jue7
Lu BuWang Yun19
Lu BuPrime Minister9
Lu BuDiao Chan12
Zhang JiDong Zhuo4
Zhang JiGuo Si6
Zhang JiLi Jue6
Zhang JiFan Chou7
Guo SiZhang Ji6
Guo SiDong Zhuo5
Guo SiLi Jue9
Guo SiFan Chou7
Guo SiLu Bu6
Li JueZhang Ji6
Li JueDong Zhuo8
Li JueGuo Si9
Li JueFan Chou7
Li JueLu Bu7
Li JueWang Yun4
Fan ChouZhang Ji7
Fan ChouDong Zhuo4
Fan ChouGuo Si7
Fan ChouLi Jue7
Li RuDong Zhuo18
Li RuLu Bu9
Yuan ShuYuan Shao5
Yuan ShuCao Cao5
Yuan ShuSun Jian5
Wang YunDong Zhuo20
Wang YunLu Bu19
Wang YunPrime Minister7
Wang YunLi Jue4
Prime MinisterDong Zhuo5
Prime MinisterLu Bu9
Prime MinisterWang Yun7
Prime MinisterDiao Chan4
Chen GongCao Cao7
Lu BosheCao Cao5
Xiahou YuanXiahou Dun4
Xiahou DunXiahou Yuan4
Xiahou DunCao Cao5
Cao HongCao Cao5
Han FuImperial Protector5
Han FuYuan Shao7
Cheng PuSun Jian10
Cheng PuHuang Gai7
Cheng PuHan Dang4
Huang GaiCheng Pu7
Huang GaiSun Jian9
Huang GaiHan Dang4
Huang GaiHuang Zu5
Han DangCheng Pu4
Han DangSun Jian5
Han DangHuang Gai4
Wen ChouYuan Shao4
Wen ChouGongsun Zan6
Liu BiaoSun Jian12
Liu BiaoYuan Shao6
Liu BiaoKuai Liang5
Liu BiaoCai Mao5
Liu BiaoHuang Zu4
Kuai LiangLiu Biao5
Kuai LiangSun Jian4
Kuai YueCai Mao5
Cai MaoLiu Biao5
Cai MaoKuai Yue5
Cai MaoSun Jian5
Zhao YunYuan Shao4
Zhao YunGongsun Zan6
Huang ZuSun Jian5
Huang ZuLiu Biao4
Huang ZuHuang Gai5
Diao ChanLu Bu12
Diao ChanPrime Minister4
Diao ChanDong Zhuo6
