Source Target Weight
Emperor XianCao Cao5
Zhang RangHe Jin4
Zhang BaoZhu Jun5
Zhang BaoLiu Bei5
He JinCao Cao6
He JinYuan Shao5
He JinZhang Rang4
Zhu JunHuangfu Song7
Zhu JunZhang Bao5
Zhu JunLiu Bei12
Zhu JunSun Jian4
Zhu JunGuo Si4
Zhu JunYang Biao4
Lu ZhiHuangfu Song4
Lu ZhiLiu Bei6
Huangfu SongZhu Jun7
Huangfu SongLu Zhi4
Huangfu SongLiu Bei4
Zhou JingLiu Bei4
Imperial ProtectorLiu Bei26
Imperial ProtectorDong Zhuo5
Imperial ProtectorSun Jian5
Imperial ProtectorHan Fu5
Imperial ProtectorLiu Dai5
Imperial ProtectorTao Qian8
Imperial ProtectorLiu Biao9
Imperial ProtectorYuan Shao7
Imperial ProtectorYuan Shu4
Imperial ProtectorCao Cao11
Imperial ProtectorMi Zhu4
Imperial ProtectorLiu Yao5
Imperial ProtectorLu Bu4
Liu BeiGongsun Zan14
Liu BeiLu Zhi6
Liu BeiZhang Fei72
Liu BeiGuan Yu83
Liu BeiZhou Jing4
Liu BeiImperial Protector26
Liu BeiCheng Yu7
Liu BeiZhu Jun12
Liu BeiZhang Bao5
Liu BeiHuangfu Song4
Liu BeiDong Zhuo5
Liu BeiCao Cao118
Liu BeiSun Jian4
Liu BeiYuan Shao44
Liu BeiLu Bu72
Liu BeiZhao Yun27
Liu BeiKong Rong9
Liu BeiMi Zhu15
Liu BeiTao Qian15
Liu BeiYu Ji5
Liu BeiYu Jin5
Liu BeiGuo Jia6
Liu BeiYuan Shu24
Liu BeiChen Gong7
Liu BeiPrime Minister18
Liu BeiXun Yu6
Liu BeiChen Deng11
Liu BeiJi Ling14
Liu BeiGao Shun10
Liu BeiSun Ce5
Liu BeiSun Qian28
Liu BeiChen Gui4
Liu BeiZhang Liao10
Liu BeiCao Ren11
Liu BeiLiu Biao30
Liu BeiJian Yong9
Liu BeiMa Teng5
Liu BeiDong Cheng6
Liu BeiXu Chu6
Liu BeiChe Zhou4
Liu BeiTian Feng4
Liu BeiWen Chou6
Liu BeiLiu Dai4
Liu BeiWang Zhong4
Liu BeiLiu Pi9
Liu BeiGong Du5
Liu BeiGuan Ping5
Liu BeiZhou Cang4
Liu BeiCai Mao13
Liu BeiLady Cai4
Liu BeiYi Ji4
Liu BeiSan Fu6
Liu BeiXu Shu7
Liu BeiZhuge Liang10
Gongsun ZanLiu Bei14
Gongsun ZanYuan Shao25
Gongsun ZanCao Cao7
Gongsun ZanWen Chou6
Gongsun ZanZhao Yun7
Zhang FeiGuan Yu68
Zhang FeiLiu Bei72
Zhang FeiDong Zhuo4
Zhang FeiCao Cao22
Zhang FeiLu Bu23
Zhang FeiYuan Shao6
Zhang FeiSun Qian12
Zhang FeiZhang Liao5
Zhang FeiMi Zhu7
Zhang FeiJian Yong4
Zhang FeiZhao Yun9
Zhang FeiGong Du4
Guan YuZhang Fei68
Guan YuLiu Bei83
Guan YuCheng Yu4
Guan YuYuan Shao17
Guan YuCao Cao55
Guan YuLu Bu11
Guan YuZhao Yun13
Guan YuJi Ling4
Guan YuZhang Liao24
Guan YuYuan Shu4
Guan YuMi Zhu6
Guan YuSun Qian24
Guan YuPrime Minister19
Guan YuWang Zhong4
Guan YuXiahou Dun11
Guan YuWen Chou9
Guan YuGong Du6
Guan YuKong Xiu6
Guan YuHan Fu5
Guan YuWang Zhi4
Guan YuZhou Cang8
Guan YuLiu Pi4
Guan YuGuan Ding4
Guan YuGuan Ping6
Cheng YuLiu Bei7
Cheng YuGuan Yu4
Cheng YuCao Cao18
Cheng YuXun Yu8
Cheng YuGuo Jia7
Cheng YuYu Ji5
Cheng YuXiahou Dun5
Cheng YuYu Jin5
Cheng YuCao Ren5
Cheng YuYue Jin4
Cheng YuXu Chu4
Cheng YuLi Dian4
Cheng YuPrime Minister4
Cheng YuYuan Shao4
Cao CaoLiu Bei118
Cao CaoHe Jin6
Cao CaoYuan Shao101
Cao CaoYuan Shu20
Cao CaoDong Zhuo23
Cao CaoPrime Minister26
Cao CaoLu Bu79
Cao CaoLu Boshe5
Cao CaoChen Gong23
Cao CaoXiahou Yuan12
Cao CaoYue Jin14
Cao CaoXiahou Dun32
Cao CaoLi Dian18
Cao CaoCao Ren17
Cao CaoCao Hong20
Cao CaoGuan Yu55
Cao CaoZhang Fei22
Cao CaoGongsun Zan7
Cao CaoTao Qian14
Cao CaoKong Rong12
Cao CaoGuo Si9
Cao CaoMa Teng5
Cao CaoXun Yu26
Cao CaoXun You11
Cao CaoCheng Yu18
Cao CaoLiu Ye6
Cao CaoYu Ji22
Cao CaoGuo Jia17
Cao CaoYu Jin21
Cao CaoDian Wei22
Cao CaoImperial Protector11
Cao CaoMi Zhu12
Cao CaoXue Lan4
Cao CaoLi Feng4
Cao CaoCao Xi5
Cao CaoZhang Liao33
Cao CaoHou Cheng7
Cao CaoWei Xu4
Cao CaoGao Shun12
Cao CaoXu Chu29
Cao CaoLi Jue9
Cao CaoYang Biao5
Cao CaoEmperor Xian5
Cao CaoJia Xu13
Cao CaoYang Feng5
Cao CaoDong Zhao4
Cao CaoXu Huang20
Cao CaoDong Cheng15
Cao CaoSouth Land4
Cao CaoSun Ce16
Cao CaoSun Qian9
Cao CaoZhang Xiu28
Cao CaoCao Amin5
Cao CaoChen Deng10
Cao CaoChen Gui4
Cao CaoLiu Biao31
Cao CaoJian Yong5
Cao CaoWang Zifu6
Cao CaoTian Feng6
Cao CaoShen Pei11
Cao CaoJu Shou5
Cao CaoGuo Tu10
Cao CaoLiu Dai7
Cao CaoWang Zhong5
Cao CaoMi Heng4
Cao CaoHan Song4
Cao CaoJi Ping13
Cao CaoQuin Quington4
Cao CaoChen Zhen4
Cao CaoZhang Hong4
Cao CaoGao Lan10
Cao CaoZhang He9
Cao CaoXu You14
Cao CaoJiang Qi4
Cao CaoYuan Tan29
Cao CaoYuan Shang28
Cao CaoYuan Xi7
Cao CaoXin Ping4
Cao CaoXin Pi7
Cao CaoLu Xiang5
Cao CaoTian Chou5
Cao CaoXu Shu5
Dong ZhuoZhang Fei4
Dong ZhuoLiu Bei5
Dong ZhuoImperial Protector5
Dong ZhuoDing Yuan8
Dong ZhuoLi Su8
Dong ZhuoLu Bu40
Dong ZhuoZhang Ji4
Dong ZhuoGuo Si9
Dong ZhuoLi Jue11
Dong ZhuoFan Chou4
Dong ZhuoLi Ru18
Dong ZhuoYuan Shao13
Dong ZhuoCao Cao23
Dong ZhuoPrime Minister5
Dong ZhuoWang Yun21
Dong ZhuoSun Jian8
Dong ZhuoYuan Shu5
Dong ZhuoDiao Chan6
Sun JianZhu Jun4
Sun JianImperial Protector5
Sun JianLiu Bei4
Sun JianCheng Pu10
Sun JianHuang Gai9
Sun JianHan Dang5
Sun JianYuan Shao12
Sun JianDong Zhuo8
Sun JianYuan Shu6
Sun JianLiu Biao12
Sun JianCai Mao5
Sun JianKuai Liang4
Sun JianHuang Zu5
Sun JianSun Ce5
Empress HeEmpress Dong4
Empress DongEmpress He4
Empress DongLiu Xian4
Liu XianEmpress Dong4
Yuan ShaoHe Jin5
Yuan ShaoXun You4
Yuan ShaoCao Cao101
Yuan ShaoYuan Shu10
Yuan ShaoDong Zhuo13
Yuan ShaoSun Jian12
Yuan ShaoGongsun Zan25
Yuan ShaoLiu Bei44
Yuan ShaoWen Chou9
Yuan ShaoGuan Yu17
Yuan ShaoZhang Fei6
Yuan ShaoLiu Biao16
Yuan ShaoImperial Protector7
Yuan ShaoHan Fu7
Yuan ShaoPeng Ji6
Yuan ShaoTian Feng15
Yuan ShaoJu Shou8
Yuan ShaoXu You13
Yuan ShaoZhao Yun4
Yuan ShaoXun Yu6
Yuan ShaoLu Bu9
Yuan ShaoZhang Xiu5
Yuan ShaoGuo Jia4
Yuan ShaoSun Qian7
Yuan ShaoShen Pei9
Yuan ShaoGuo Tu6
Yuan ShaoCheng Yu4
Yuan ShaoYuan Tan5
Yuan ShaoChen Zhen4
Yuan ShaoXiahou Dun4
Yuan ShaoGao Lan8
Yuan ShaoZhang He6
Yuan ShaoZhang Liao5
Yuan ShaoXu Chu5
Yuan ShaoXu Huang4
Yuan ShaoJiang Qi4
Yuan ShaoYuan Shang6
Yuan ShaoYuan Xi4
Xun YouYuan Shao4
Xun YouXun Yu6
Xun YouCao Cao11
Xun YouCao Ren4
Xun YouXu Huang4
Xun YouYu Ji4
Xun YouXu Chu4
Xun YouXiahou Dun4
Xun YouYu Jin4
Xun YouLi Dian4
Ding YuanLi Su4
Ding YuanDong Zhuo8
Ding YuanLu Bu9
Li SuDing Yuan4
Li SuDong Zhuo8
Li SuLu Bu17
Lu BuDing Yuan9
Lu BuLi Su17
Lu BuDong Zhuo40
Lu BuLi Ru9
Lu BuCao Cao79
Lu BuZhang Ji4
Lu BuGuo Si10
Lu BuLi Jue10
Lu BuZhang Fei23
Lu BuGuan Yu11
Lu BuLiu Bei72
Lu BuXiahou Dun9
Lu BuCao Ren7
Lu BuXiahou Yuan4
Lu BuWang Yun20
Lu BuPrime Minister12
Lu BuDiao Chan14
Lu BuYuan Shu27
Lu BuYuan Shao9
Lu BuChen Gong32
Lu BuXun Yu7
Lu BuXue Lan4
Lu BuSong Xian11
Lu BuCao Xi4
Lu BuZhang Liao15
Lu BuHou Cheng8
Lu BuWei Xu13
Lu BuYue Jin5
Lu BuGao Shun19
Lu BuDian Wei5
Lu BuImperial Protector4
Lu BuJi Ling8
Lu BuHan Yin6
Lu BuSun Qian4
Lu BuChen Gui7
Lu BuMi Zhu4
Lu BuLiu Biao4
Lu BuZhang Xiu4
Lu BuChen Deng16
Lu BuHan Xian5
Lu BuYang Feng4
Zhang JiDong Zhuo4
Zhang JiGuo Si12
Zhang JiLi Jue14
Zhang JiFan Chou14
Zhang JiLu Bu4
Guo SiZhang Ji12
Guo SiDong Zhuo9
Guo SiLi Jue60
Guo SiFan Chou10
Guo SiLu Bu10
Guo SiXiahou Dun4
Guo SiCao Cao9
Guo SiWang Yun4
Guo SiZhu Jun4
Guo SiJia Xu4
Guo SiYang Biao5
Guo SiHuangfu Li4
Guo SiYang Feng8
Guo SiDong Cheng4
Guo SiLi Yue4
Li JueZhang Ji14
Li JueDong Zhuo11
Li JueGuo Si60
Li JueFan Chou13
Li JueLu Bu10
Li JueJia Xu11
Li JueWang Yun5
Li JueCao Cao9
Li JueHuangfu Li7
Li JueYang Feng7
Li JueDong Cheng4
Li JueLi Yue4
Fan ChouZhang Ji14
Fan ChouDong Zhuo4
Fan ChouGuo Si10
Fan ChouLi Jue13
Fan ChouHan Sui4
Li RuDong Zhuo18
Li RuLu Bu9
Yuan ShuYuan Shao10
Yuan ShuCao Cao20
Yuan ShuSun Jian6
Yuan ShuDong Zhuo5
Yuan ShuImperial Protector4
Yuan ShuLu Bu27
Yuan ShuLiu Bei24
Yuan ShuGao Shun4
Yuan ShuChen Gong5
Yuan ShuYang Feng4
Yuan ShuJi Ling6
Yuan ShuSun Ce14
Yuan ShuSouth Land4
Yuan ShuHan Yin4
Yuan ShuGuan Yu4
Yang BiaoGuo Si5
Yang BiaoZhu Jun4
Yang BiaoCao Cao5
Wang YunDong Zhuo21
Wang YunLu Bu20
Wang YunPrime Minister7
Wang YunLi Jue5
Wang YunGuo Si4
Prime MinisterDong Zhuo5
Prime MinisterCao Cao26
Prime MinisterLu Bu12
Prime MinisterWang Yun7
Prime MinisterDiao Chan4
Prime MinisterCheng Yu4
Prime MinisterXu Chu4
Prime MinisterDong Cheng5
Prime MinisterXiahou Dun5
Prime MinisterLiu Bei18
Prime MinisterGuan Yu19
Prime MinisterZhang Liao6
Prime MinisterYuan Tan4
Chen GongCao Cao23
Chen GongLu Bu32
Chen GongGao Shun4
Chen GongYuan Shu5
Chen GongLiu Bei7
Chen GongChen Deng7
Lu BosheCao Cao5
Xiahou YuanYue Jin11
Xiahou YuanXiahou Dun15
Xiahou YuanCao Cao12
Xiahou YuanLi Dian13
Xiahou YuanCao Ren4
Xiahou YuanCao Hong5
Xiahou YuanLu Bu4
Xiahou YuanDian Wei4
Xiahou YuanYu Ji6
Xiahou YuanXu Chu7
Xiahou YuanYu Jin6
Xiahou YuanXu Huang6
Xiahou YuanZhang Liao4
Yue JinXiahou Yuan11
Yue JinXiahou Dun14
Yue JinCao Cao14
Yue JinLi Dian18
Yue JinCao Ren4
Yue JinCao Hong6
Yue JinLu Bu5
Yue JinZhang Liao5
Yue JinYu Ji10
Yue JinYu Jin10
Yue JinDian Wei4
Yue JinCheng Yu4
Yue JinXu Chu9
Yue JinXu Huang7
Xiahou DunXiahou Yuan15
Xiahou DunYue Jin14
Xiahou DunCao Cao32
Xiahou DunLi Dian15
Xiahou DunCao Ren9
Xiahou DunCao Hong10
Xiahou DunLu Bu9
Xiahou DunGuo Si4
Xiahou DunYu Ji11
Xiahou DunXun Yu5
Xiahou DunCheng Yu5
Xiahou DunDian Wei6
Xiahou DunYu Jin11
Xiahou DunXu Chu12
Xiahou DunPrime Minister5
Xiahou DunXu Huang7
Xiahou DunXun You4
Xiahou DunZhang Liao7
Xiahou DunGuan Yu11
Xiahou DunYuan Shao4
Li DianXiahou Yuan13
Li DianYue Jin18
Li DianXiahou Dun15
Li DianCao Cao18
Li DianCao Ren12
Li DianCao Hong7
Li DianYu Ji13
Li DianDian Wei6
Li DianYu Jin13
Li DianXu Chu14
Li DianCheng Yu4
Li DianXu Huang9
Li DianXun You4
Li DianZhang Liao6
Cao RenCao Hong5
Cao RenCao Cao17
Cao RenXiahou Yuan4
Cao RenYue Jin4
Cao RenXiahou Dun9
Cao RenLi Dian12
Cao RenLu Bu7
Cao RenXun Yu5
Cao RenCheng Yu5
Cao RenGuo Jia4
Cao RenXu Chu5
Cao RenXu Huang4
Cao RenYu Ji5
Cao RenXun You4
Cao RenYu Jin5
Cao RenLiu Bei11
Cao RenSan Fu4
Cao HongCao Ren5
Cao HongCao Cao20
Cao HongXiahou Yuan5
Cao HongYue Jin6
Cao HongXiahou Dun10
Cao HongLi Dian7
Cao HongYu Ji5
Cao HongYu Jin5
Cao HongZhang Liao4
Cao HongXu Chu4
Han FuImperial Protector5
Han FuYuan Shao7
Han FuGuan Yu5
Liu DaiImperial Protector5
Liu DaiWang Zhong5
Liu DaiCao Cao7
Liu DaiLiu Bei4
Kong RongCao Cao12
Kong RongLiu Bei9
Kong RongMi Zhu5
Kong RongTaishi Ci6
Tao QianImperial Protector8
Tao QianCao Cao14
Tao QianMi Zhu6
Tao QianLiu Bei15
Ma TengCao Cao5
Ma TengHan Sui6
Ma TengDong Cheng6
Ma TengLiu Bei5
Cheng PuSun Jian10
Cheng PuHuang Gai8
Cheng PuHan Dang5
Cheng PuSun Ce5
Huang GaiCheng Pu8
Huang GaiSun Jian9
Huang GaiHan Dang5
Huang GaiHuang Zu5
Huang GaiSun Ce4
Han DangCheng Pu5
Han DangSun Jian5
Han DangHuang Gai5
Wen ChouYuan Shao9
Wen ChouGongsun Zan6
Wen ChouShen Pei4
Wen ChouLiu Bei6
Wen ChouGuan Yu9
Liu BiaoSun Jian12
Liu BiaoYuan Shao16
Liu BiaoImperial Protector9
Liu BiaoKuai Liang6
Liu BiaoKuai Yue4
Liu BiaoCai Mao12
Liu BiaoHuang Zu7
Liu BiaoSun Ce7
Liu BiaoJia Xu5
Liu BiaoZhang Xiu16
Liu BiaoLu Bu4
Liu BiaoCao Cao31
Liu BiaoLiu Bei30
Liu BiaoYuan Tan5
Liu BiaoYuan Shang4
Kuai LiangLiu Biao6
Kuai LiangSun Jian4
Kuai YueLiu Biao4
Kuai YueCai Mao6
Cai MaoLiu Biao12
Cai MaoKuai Yue6
Cai MaoSun Jian5
Cai MaoLiu Bei13
Cai MaoZhao Yun5
South LandSun Quan4
South LandSun Ce6
South LandYuan Shu4
South LandCao Cao4
Peng JiYuan Shao6
Peng JiTian Feng7
Peng JiXu You4
Peng JiShen Pei10
Peng JiGuo Tu6
Peng JiYuan Tan4
Xin PingXin Pi10
Xin PingGuo Tu4
Xin PingYuan Tan6
Xin PingCao Cao4
Xin PiXin Ping10
Xin PiGuo Tu4
Xin PiShen Pei5
Xin PiYuan Tan8
Xin PiCao Cao7
Tian FengXu You4
Tian FengYuan Shao15
Tian FengPeng Ji7
Tian FengCao Cao6
Tian FengLiu Bei4
Ju ShouYuan Shao8
